key,title,url,access,local_filename
Vegh2019NDARCSUAVE,Comparison of NDARC and SUAVE for an eVTOL aircraft conceptual design (Kitty Hawk Cora),https://suave.stanford.edu/publications/AIAA_Propulsion_SUAVE_NDARC_Comparison.pdf,public,Vegh2019_NDARC_SUAVE.pdf
Yu2022ICAS,Comparing Potential Flow Solvers for Aerodynamic Characteristics Estimation of the T-Flex UAV,https://www.icas.org/icas_archive/ICAS2022/data/papers/ICAS2022_0367_paper.pdf,public,Yu2022_ICAS_TFLEX.pdf
Deperrois2009XFLR5,Guidelines for XFLR5 v6.03,https://sourceforge.net/projects/xflr5/files/xflr5-docs/XFLR5_Guidelines.pdf/download,public,Deperrois2009_XFLR5_Guidelines.pdf
RosasCordova2024VSPAERO,Validation of VSPAERO for Basic Wing Simulation,https://cdn.techscience.cn/files/rimni/2024/online/RIMNI1012/TSP_RIMNI_56492/TSP_RIMNI_56492.pdf,public,RosasCordova2024_VSPAERO_Validation.pdf
Sharpe2024Graph,Accelerating Practical Engineering Design Optimization with Computational Graph Transformations (PhD thesis),https://peterdsharpe.github.io/AeroSandbox/tutorial/sharpe-pds-phd-AeroAstro-2024-thesis.pdf,public,Sharpe2024_PhD_Thesis.pdf
NASASP8007,Buckling of thin-walled circular cylinders (NASA SP-8007),https://ntrs.nasa.gov/api/citations/19690013955/downloads/19690013955.pdf,public,NASA_SP8007_1968.pdf
Pratt2000STEP,Introduction to ISO 10303 - The STEP Standard for Product Data Exchange (NIST),https://tsapps.nist.gov/publication/get_pdf.cfm?pub_id=821426,public,Pratt2000_STEP.pdf
DrelaYoungren1988,AVL User Primer (AVL 3.36),https://web.mit.edu/drela/Public/web/avl/AVL_User_Primer.pdf,public,AVL_User_Primer.pdf
Sharpe2025NeuralFoil,NeuralFoil: A physics-informed machine learning model for airfoil aerodynamics (arXiv:2503.16323),https://arxiv.org/pdf/2503.16323.pdf,public,Sharpe2025_NeuralFoil_arXiv2503.16323.pdf
Szabo2022TFlex,Comparing potential flow solvers for the T-FLEX UAV (same ICAS 2022 PDF as Yu2022ICAS),https://www.icas.org/icas_archive/ICAS2022/data/papers/ICAS2022_0367_paper.pdf,public,Yu2022_ICAS_TFLEX.pdf
TechScience2024VSPAERO,Validation of VSPAERO for Basic Wing Simulation (same PDF as RosasCordova2024VSPAERO),https://cdn.techscience.cn/files/rimni/2024/online/RIMNI1012/TSP_RIMNI_56492/TSP_RIMNI_56492.pdf,public,RosasCordova2024_VSPAERO_Validation.pdf
