alpha,beta,airspeed,CL,CD,CY,Cl,Cm,Cn,error
-90.0,0.0,19.94857498845234,nan,nan,nan,nan,nan,nan,"float() argument must be a string or a real number, not 'list'"
-85.0,0.0,19.94857498845234,nan,nan,nan,nan,nan,nan,"float() argument must be a string or a real number, not 'list'"
-80.0,0.0,19.94857498845234,nan,nan,nan,nan,nan,nan,"float() argument must be a string or a real number, not 'list'"
-75.0,0.0,19.94857498845234,nan,nan,nan,nan,nan,nan,"float() argument must be a string or a real number, not 'list'"
-70.0,0.0,19.94857498845234,nan,nan,nan,nan,nan,nan,"float() argument must be a string or a real number, not 'list'"
-65.0,0.0,19.94857498845234,nan,nan,nan,nan,nan,nan,"float() argument must be a string or a real number, not 'list'"
-60.0,0.0,19.94857498845234,nan,nan,nan,nan,nan,nan,"float() argument must be a string or a real number, not 'list'"
-55.0,0.0,19.94857498845234,nan,nan,nan,nan,nan,nan,"float() argument must be a string or a real number, not 'list'"
-50.0,0.0,19.94857498845234,nan,nan,nan,nan,nan,nan,"float() argument must be a string or a real number, not 'list'"
-45.0,0.0,19.94857498845234,nan,nan,nan,nan,nan,nan,"float() argument must be a string or a real number, not 'list'"
-40.0,0.0,19.94857498845234,nan,nan,nan,nan,nan,nan,"float() argument must be a string or a real number, not 'list'"
-35.0,0.0,19.94857498845234,nan,nan,nan,nan,nan,nan,"float() argument must be a string or a real number, not 'list'"
-30.0,0.0,19.94857498845234,nan,nan,nan,nan,nan,nan,"float() argument must be a string or a real number, not 'list'"
-25.0,0.0,19.94857498845234,nan,nan,nan,nan,nan,nan,"float() argument must be a string or a real number, not 'list'"
-20.0,0.0,19.94857498845234,nan,nan,nan,nan,nan,nan,"float() argument must be a string or a real number, not 'list'"
-15.0,0.0,19.94857498845234,nan,nan,nan,nan,nan,nan,"float() argument must be a string or a real number, not 'list'"
-10.0,0.0,19.94857498845234,nan,nan,nan,nan,nan,nan,"float() argument must be a string or a real number, not 'list'"
-5.0,0.0,19.94857498845234,nan,nan,nan,nan,nan,nan,"float() argument must be a string or a real number, not 'list'"
0.0,0.0,19.94857498845234,nan,nan,nan,nan,nan,nan,"float() argument must be a string or a real number, not 'list'"
5.0,0.0,19.94857498845234,nan,nan,nan,nan,nan,nan,"float() argument must be a string or a real number, not 'list'"
10.0,0.0,19.94857498845234,nan,nan,nan,nan,nan,nan,"float() argument must be a string or a real number, not 'list'"
15.0,0.0,19.94857498845234,nan,nan,nan,nan,nan,nan,"float() argument must be a string or a real number, not 'list'"
20.0,0.0,19.94857498845234,nan,nan,nan,nan,nan,nan,"float() argument must be a string or a real number, not 'list'"
25.0,0.0,19.94857498845234,nan,nan,nan,nan,nan,nan,"float() argument must be a string or a real number, not 'list'"
30.0,0.0,19.94857498845234,nan,nan,nan,nan,nan,nan,"float() argument must be a string or a real number, not 'list'"
35.0,0.0,19.94857498845234,nan,nan,nan,nan,nan,nan,"float() argument must be a string or a real number, not 'list'"
40.0,0.0,19.94857498845234,nan,nan,nan,nan,nan,nan,"float() argument must be a string or a real number, not 'list'"
45.0,0.0,19.94857498845234,nan,nan,nan,nan,nan,nan,"float() argument must be a string or a real number, not 'list'"
50.0,0.0,19.94857498845234,nan,nan,nan,nan,nan,nan,"float() argument must be a string or a real number, not 'list'"
55.0,0.0,19.94857498845234,nan,nan,nan,nan,nan,nan,"float() argument must be a string or a real number, not 'list'"
60.0,0.0,19.94857498845234,nan,nan,nan,nan,nan,nan,"float() argument must be a string or a real number, not 'list'"
65.0,0.0,19.94857498845234,nan,nan,nan,nan,nan,nan,"float() argument must be a string or a real number, not 'list'"
70.0,0.0,19.94857498845234,nan,nan,nan,nan,nan,nan,"float() argument must be a string or a real number, not 'list'"
75.0,0.0,19.94857498845234,nan,nan,nan,nan,nan,nan,"float() argument must be a string or a real number, not 'list'"
80.0,0.0,19.94857498845234,nan,nan,nan,nan,nan,nan,"float() argument must be a string or a real number, not 'list'"
85.0,0.0,19.94857498845234,nan,nan,nan,nan,nan,nan,"float() argument must be a string or a real number, not 'list'"
90.0,0.0,19.94857498845234,nan,nan,nan,nan,nan,nan,"float() argument must be a string or a real number, not 'list'"
